Rank,Name,Total_Rev,Domestic_Rev,Foreign_Rev,Foreign_Percent,Domestic_Percent
452,"Elf 2018 Re-release",442073,442073,0,100,0
453,"We the Animals",434743,400961,33782,92.2,7.8
454,"DCI 2018 Tour Premeire",434008,434008,0,100,0
455,"The Sower",433112,36233,396879,8.4,91.6
456,"Andy Irons: Kissed by God",430393,285933,144460,66.4,33.6
457,"Cirque du Soleil in Cinema: KURIOS - Cabinet of Curiosities",422760,413039,9721,97.7,2.3
458,"Frankenstein 2018 Re-release",417783,417783,0,100,0
459,"Happy Phirr Bhag Jayegi",417669,103385,314284,24.8,75.2
460,"Status Update",416178,4764,411414,1.1,98.9
461,"Vertigo 2018 Re-release",408560,394212,14348,96.5,3.5
462,"Please Stand By",406732,9868,396864,2.4,97.6
463,"The Philadelphia Story 2018 Re-release",404524,404524,0,100,0
464,"The Oath",401463,401463,0,100,0
465,"West Side Story 2018 Re-release",398670,398670,0,100,0
466,"Space Mutiny",397887,397887,0,100,0
467,"Krull 2018 Re-release",397157,397157,0,100,0
468,"The Escape",390881,14018,376863,3.6,96.4
469,"Westwood: Punk, Icon, Activist",386856,58979,327877,15.2,84.8
470,"How To Talk To Girls at Parties",385733,84809,300924,22,78
471,Flower,380553,328188,52365,86.2,13.8
472,"Jane and Emma",380030,380030,0,100,0
473,"Daughter of Mine",379010,10628,368382,2.8,97.2
474,"Attack on Titan: Smoke Signal",377334,377334,0,100,0
475,"The Dark Knight 2018 Re-release",375589,375589,0,100,0
476,"Jurassic Park 2018 Re-release",374238,374238,0,100,0
477,"Pom Poko 2018 Re-release",372405,372405,0,100,0
478,"Ruben Brandt, Collector 2018 Re-release",369513,117963,251550,31.9,68.1
479,"The Wizard of Oz 2018 Re-release",351839,351839,0,100,0
480,"Bel Canto",350264,125569,224695,35.8,64.2
481,"Suicide the Ripple Effect",347468,347468,0,100,0
482,"Nureyev: Lifting the Curtain",342255,165203,177052,48.3,51.7
483,"Knife + Heart",341847,32516,309331,9.5,90.5
484,Silencio,338596,158723,179873,46.9,53.1
485,"Sailor Moon R: The Movie: The Promise of the Rose/Sailor Moon S: The Movie - Hearts in Ice",335697,335697,0,100,0
486,"Russ Taff: I Still Believe",334983,334983,0,100,0
487,Shine,333388,333388,0,100,0
488,"The Opera House",325235,320079,5156,98.4,1.6
489,"Teefa In Trouble",324633,0,324633,0,100
490,"The Bolshoi Ballet: Live From Moscow - The Nutcracker",323928,323928,0,100,0
491,"The Cured",323776,26630,297146,8.2,91.8
492,Damsel,323235,305136,18099,94.4,5.6
493,"Sauvage / Wild",317536,61604,255932,19.4,80.6
494,"The Riot and the Dance",316103,316103,0,100,0
495,"The Bolshoi Ballet: Live From Moscow - Romeo and Juliet",313088,313088,0,100,0
496,"MET Opera: Magic Flute",307686,307686,0,100,0
497,"The Mercy 2018 Re-release",306205,29538,276667,9.6,90.4
498,"Showtime Championship Boxing: Deontay Wilder vs. Tyson Fury",304482,304482,0,100,0
499,"The Bolshoi Ballet: Live From Moscow - Giselle",302681,302681,0,100,0
500,"Sunset Blvd. 2018 Re-release",299645,299645,0,100,0
501,"Harry Potter and the Sorcerer's Stone 2018 Re-release",295917,295917,0,100,0
502,"Okko's Inn",293385,134787,158598,45.9,54.1
503,"More Than Funny",290498,290498,0,100,0
504,"Best F(r)iends: Volume 1",290064,252410,37654,87,13
505,"The Silence of Others",289455,67986,221469,23.5,76.5
506,"Generation Wealth",287709,237709,50000,82.6,17.4
507,"Skate Kitchen",287307,236799,50508,82.4,17.6
508,"But Deliver Us from Evil",285169,285169,0,100,0
509,"Disney's Newsies: The Broadway Musical! 2018 Re-release",282429,282429,0,100,0
510,"Namaste England",279857,104079,175778,37.2,62.8
511,"Wonders of the Sea",279415,100780,178635,36.1,63.9
512,"Science Fair",277338,276195,1143,99.6,0.4
513,"The King",273601,259291,14310,94.8,5.2
514,"The World Before Your Feet",268644,268644,0,100,0
515,"Time Freak",266490,10003,256487,3.8,96.2
516,"Doctor Who",264629,264629,0,100,0
517,"The Producers 2018 Re-release",263277,216807,46470,82.3,17.7
518,"The Final Year",262286,191900,70386,73.2,26.8
519,"Eating You Alive",260534,260534,0,100,0
520,"Across the Universe 2018 Re-release",258618,258618,0,100,0
521,"Big 2018 Re-release",258507,258507,0,100,0
522,"Helicopter Eela",256952,71971,184981,28,72
523,"Hot Summer Nights",246133,0,246133,0,100
524,"Harry Potter and the Chamber of Secrets 2018 Re-release",245501,245501,0,100,0
525,"The Fireflies Are Gone",245006,245006,0,100,0
526,"Dark River",239182,7714,231468,3.2,96.8
527,"RWBY: Argus Limited",238379,238379,0,100,0
528,"Ryuichi Sakamoto: Coda",238267,117460,120807,49.3,50.7
529,"Alien Intrusion: Unmasking a Deception",237411,237411,0,100,0
530,Diamantino,235041,70088,164953,29.8,70.2
531,"Superman 2018 Re-release",233585,233585,0,100,0
532,"Bishôjo senshi Sailor Moon Super S Special",231434,231434,0,100,0
533,"Belle and Sebastian, Friends for Life 2018 Re-release",229983,105890,124093,46,54
534,"Studio 54",227062,199767,27295,88,12
535,BuyBust,223720,178471,45249,79.8,20.2
536,"Little Pink House",220948,220948,0,100,0
537,"The Metropolitan Opera HD Live: Puccini: Turandot",219619,172627,46992,78.6,21.4
538,"Fragments of Truth",219342,219342,0,100,0
539,"Harry Potter and the Prisoner of Azkaban 2018 Re-release",218774,218774,0,100,0
540,"Dark Money",217932,217932,0,100,0
541,"Getting Grace",217812,217812,0,100,0
542,"The Treasure of the Sierra Madre",215295,215295,0,100,0
543,"Agent Mr. Chan",208351,208351,0,100,0
544,"The Dating Project",208100,208100,0,100,0
545,"Heading Home: The Tale of Team Israel",207533,207533,0,100,0
546,"Keep the Change",202788,202788,0,100,0
547,"The Bolshoi Ballet: Live From Moscow - Coppélia",202217,202217,0,100,0
548,Gemini,200340,200340,0,100,0
549,"Rebel Without a Cause 2018 Re-release",199963,199963,0,100,0
550,"Madeline's Madeline",197309,185576,11733,94.1,5.9
551,"Have It All -The Movie",197142,197142,0,100,0
552,"Boom for Real: The Late Teenage Years of Jean-Michel Basquiat",195517,166616,28901,85.2,14.8
553,"Claire's Camera",191980,83418,108562,43.5,56.5
554,"Harry Potter and the Goblet of Fire 2018 Re-release",188716,188716,0,100,0
555,"The Bolshoi Ballet: Live From Moscow - Don Quixote",187946,187946,0,100,0
556,"Owaranai hito: Miyazaki Hayao",187320,187320,0,100,0
557,Twiceland,186078,52874,133204,28.4,71.6
558,"National Theatre Live: King Lear",185305,185305,0,100,0
559,"Cobra Kai Premiere Event feat. The Karate Kid",185082,185082,0,100,0
560,"Shock and Awe",182415,77980,104435,42.7,57.3
561,"Harry Potter and the Deathly Hallows: Part 2 2018 Re-release",181938,181938,0,100,0
562,"The Bolshoi Ballet: Live From Moscow - The Flames of Paris",175922,175922,0,100,0
563,"Always at The Carlyle",174251,174251,0,100,0
564,"The Bolshoi Ballet: Live From Moscow - La Sylphide",171177,171177,0,100,0
565,"Girls of the Sun",168771,19712,149059,11.7,88.3
566,"The Clovehitch Killer",167994,8208,159786,4.9,95.1
567,"The Bolshoi Ballet: Live From Moscow - The Lady of the Camellias",167991,167991,0,100,0
568,"Is Genesis History? 2018 Re-release",166763,166763,0,100,0
569,"Far From the Tree",166018,166018,0,100,0
570,"Lost & Found",164026,125173,38853,76.3,23.7
571,"The Samuel Project",161565,161565,0,100,0
572,"Lu Over the Wall",161253,109857,51396,68.1,31.9
573,"National Theatre Live: The Curious Incident of the Dog in the Night-Time 2018 Re-release",160381,160381,0,100,0
574,"The Last Resort",158646,158646,0,100,0
575,Western,155215,41072,114143,26.5,73.5
576,"Bad Reputation",154190,148568,5622,96.4,3.6
577,"Eating Animals",153993,149614,4379,97.2,2.8
578,"The Tag Along: Devil Fish",153895,20726,133169,13.5,86.5
579,"Buttons, A New Musical Film",151983,151983,0,100,0
580,"Harry Potter and the Deathly Hallows: Part 1 2018 Re-release",148263,148263,0,100,0
581,"Night of the Living Dead 2018 Re-release",147423,147423,0,100,0
582,Hannah,146325,11700,134625,8,92
583,"Mr. Smith Goes to Washington 2018 Re-release",144738,144738,0,100,0
584,"The Price of Everything",144446,87400,57046,60.5,39.5
585,Aiyaary,143108,0,143108,0,100
586,"Best F(r)iends Volume Two",141524,141524,0,100,0
587,"Support the Girls",139550,129124,10426,92.5,7.5
588,"Head Full of Honey",138844,12350,126494,8.9,91.1
589,"The Brawler",138515,75929,62586,54.8,45.2
590,"Mantra: Sounds Into Silence",135684,115013,20671,84.8,15.2
591,"Another Day of Life",134801,3190,131611,2.4,97.6
592,"Harry Potter and the Order of the Phoenix 2018 Re-release",132522,132522,0,100,0
593,"Rudy 2018 Re-release",131200,131200,0,100,0
594,"The Image Book",130802,94153,36649,72,28
595,"Saheb Biwi Aur Gangster 3",130403,0,130403,0,100
596,"Five Seasons: The Gardens of Piet Oudolf",130319,119223,11096,91.5,8.5
597,"Harry Potter and the Half-Blood Prince 2018 Re-release",130081,130081,0,100,0
598,"The Metropolitan Opera HD Live: Puccini: Madama Butterfly",129730,129730,0,100,0
599,"The Metropolitan Opera HD Live: Tchaikovsky: Eugene Onegin 2018 Re-release",129498,129498,0,100,0
600,"The Metropolitan Opera HD Live: Verdi: Il Trovatore",129393,129393,0,100,0
601,"Where Hands Touch",128269,67743,60526,52.8,47.2
602,"Sleepless in Seattle 2018 Re-release",127281,127281,0,100,0
603,"The Great Buster: A Celebration",125807,118344,7463,94.1,5.9
604,"Hymn: Sarah Brightman In Concert",124707,113274,11433,90.8,9.2
605,"'85: The Greatest Team in Football History",124573,124573,0,100,0
606,"Wings of Desire 2018 Re-release",123830,123830,0,100,0
607,"Blood Fest",122833,82774,40059,67.4,32.6
608,"Yu-Gi-Oh!: The Movie - Pyramid of Light 2018 Re-release",121688,121688,0,100,0
609,"Love After Love",121098,121098,0,100,0
610,"Styx 2018 Re-release",118188,70794,47394,59.9,40.1
611,"Bisbee '17",117470,117470,0,100,0
612,"George Takei's Allegiance 2018 Re-release",117162,117162,0,100,0
613,Nostalgia,114603,114603,0,100,0
614,"John McEnroe: In the Realm of Perfection",114289,90964,23325,79.6,20.4
615,Bodied,113956,113956,0,100,0
616,Filmworker,112828,102609,10219,90.9,9.1
617,"A Boy. A Girl. A Dream.",112552,112552,0,100,0
618,"Hale County This Morning, This Evening",112282,112282,0,100,0
619,"The Dawn Wall",112191,112191,0,100,0
620,"A Chance in the World - Premiere",112007,112007,0,100,0
621,"A Paris Education",109386,21598,87788,19.7,80.3
622,"Red Sorghum",108371,0,108371,0,100
623,"No Date, No Signature",107368,36444,70924,33.9,66.1
624,"National Theatre Live: Julius Caesar",107057,107057,0,100,0
625,"The Charmer",106379,26167,80212,24.6,75.4
626,"Never Heard",105271,105271,0,100,0
627,"Andrei Rublev 2018 Re-release",102021,102021,0,100,0
628,"Kickboxer: Retaliation",101690,4537,97153,4.5,95.5
629,"All About Nina",100335,100335,0,100,0
630,"Meow Wolf: Origin Story",99488,99488,0,100,0
631,"Reign of Judges: Title of Liberty - Concept Short",98408,93224,5184,94.7,5.3
632,"National Theatre Live: Macbeth",97857,97857,0,100,0
633,"Godspeed: The Race Across America",96690,96690,0,100,0
634,"The Night Eats the World",95208,0,95208,0,100
635,"Let the Corpses Tan",93409,93409,0,100,0
636,"BANDSTAND: The Broadway Musical on Screen 2018 Re-release",91000,91000,0,100,0
637,"Yuri!!! On Ice",90751,81878,8873,90.2,9.8
638,"Minding the Gap",90328,11998,78330,13.3,86.7
639,"Running for Grace",89988,89988,0,100,0
640,"Cat on a Hot Tin Roof",89332,89332,0,100,0
641,"Bolshoi Ballet: Swan Lake",88905,88905,0,100,0
642,"Goldstone 2018 Re-release",87639,87639,0,100,0
643,Beuys,86451,65410,21041,75.7,24.3
644,"Nico, 1988",83558,73304,10254,87.7,12.3
645,"Doctor Who: The Woman Who Fell to Earth",82698,82698,0,100,0
646,"Bhavesh Joshi Superhero",81792,57376,24416,70.1,29.9
647,Yomeddine,81030,11308,69722,14,86
648,"Woman Walks Ahead",80912,57528,23384,71.1,28.9
649,Nancy,80115,80115,0,100,0
650,"En el séptimo día",79887,79887,0,100,0
651,"The Boxcar Children - Surprise Island",78676,78676,0,100,0
652,"Un traductor",78075,13509,64566,17.3,82.7
653,Parchi,77110,69431,7679,90,10
654,93Queen,76056,76056,0,100,0
655,"Touch Me Not",75507,13782,61725,18.3,81.7
656,"The Riot Act",75506,75506,0,100,0
657,"Above and Beyond: NASA's Journey to Tomorrow",74711,74711,0,100,0
658,"The Boy Downstairs",73988,13638,60350,18.4,81.6
659,"After Auschwitz",73885,73885,0,100,0
660,"Primal Rage: The Legend of Konga",73383,21497,51886,29.3,70.7
661,"Antonio Lopez 1970: Sex Fashion & Disco",73122,43169,29953,59,41
662,"The Fog 2018 Re-release",70421,70421,0,100,0
663,Wastelander,70045,70045,0,100,0
664,"Chef Flynn",69542,68407,1135,98.4,1.6
665,"Outside In",68492,68492,0,100,0
666,"The Eyes of Orson Welles",68328,10253,58075,15,85
667,10x10,68260,2263,65997,3.3,96.7
668,"Making the Five Heartbeats",67415,67415,0,100,0
669,"The Doctor from India",67136,67136,0,100,0
670,"3100, Run and Become",65524,65524,0,100,0
671,"Searching for Ingmar Bergman",64742,36686,28056,56.7,43.3
672,"Monrovia, Indiana",64596,63944,652,99,1
673,"The Gardener",62734,62734,0,100,0
674,"The Swan",62716,2367,60349,3.8,96.2
675,"River Runs Red",61789,9893,51896,16,84
676,"Here and Now",61271,13892,47379,22.7,77.3
677,"Never Goin' Back",61271,61271,0,100,0
678,"A Kid Like Jake",60784,58403,2381,96.1,3.9
679,"Viper Club",60607,60607,0,100,0
680,"Where Is Kyra?",59717,59717,0,100,0
681,"Bomb City",59329,59329,0,100,0
682,"DIGIMON ADVENTURE tri.: Loss",59114,59114,0,100,0
683,"Horn from the Heart: The Paul Butterfield Story",58597,58597,0,100,0
684,Cynthia,58177,58177,0,100,0
685,"In Search of Greatness",58090,58090,0,100,0
686,"Ramen Heads",57345,57345,0,100,0
687,"Mamma Mia! 2018 Re-release",55168,39601,15567,71.8,28.2
688,"American Dream: Detroit",55092,55092,0,100,0
689,"DAZN Boxing: Canelo Alvarez vs. Rocky Fielding",54916,54916,0,100,0
690,"Digimon Adventure Tri. 6: Future",54324,54324,0,100,0
691,"The Assassin's Code",53940,11218,42722,20.8,79.2
692,"The Legend of Hallowaiian",53738,451,53287,0.8,99.2
693,Grass,53503,8084,45419,15.1,84.9
694,"The Great Silence",53074,53074,0,100,0
695,"The Snowman Trek",51743,51743,0,100,0
696,"Wanda 2018 Re-release",51713,51713,0,100,0
697,Bigger,51684,46382,5302,89.7,10.3
698,"The Royal Wedding: Prince Harry and Meghan Markle",50264,50264,0,100,0
699,"Jumanji/Jumanji: Welcome to the Jungle",49381,49381,0,100,0
700,Hal,49045,48698,347,99.3,0.7
701,"The China Hustle",48650,48650,0,100,0
702,"350 Days - Legends. Champions. Survivors",47526,47526,0,100,0
703,Mercury,45429,0,45429,0,100
704,"That Summer",44659,34556,10103,77.4,22.6
705,Liyana,44045,44045,0,100,0
706,"Garry Winogrand: All Things are Photographable",44002,44002,0,100,0
707,"Hitler's Hollywood",43766,43766,0,100,0
708,"First We Take Brooklyn",42812,42812,0,100,0
709,"Golden Exits",41888,41888,0,100,0
710,"Blue Iguana",41050,0,41050,0,100
711,"On Her Shoulders",40145,28288,11857,70.5,29.5
712,"Humor Me",40099,40099,0,100,0
713,Submission,39985,39985,0,100,0
714,"An Elephant Sitting Still",39599,32556,7043,82.2,17.8
715,"I Do Not Care If We Go Down in History as Barbarians",38878,11014,27864,28.3,71.7
716,"Divide and Conquer: The Story of Roger Ailes",38510,38510,0,100,0
717,Araby,38399,38399,0,100,0
718,"No Intenso Agora",38223,24955,13268,65.3,34.7
719,"Gray Matter",38034,38034,0,100,0
720,"The Heart of Nuba",37788,37788,0,100,0
721,Krystal,37516,37516,0,100,0
722,"Small Group",37058,37058,0,100,0
723,"24 Frames",37045,34482,2563,93.1,6.9
724,"Mind Game",36613,36613,0,100,0
725,"À tous ceux qui ne me lisent pas",36506,36506,0,100,0
726,"Le Corbeau",36089,36089,0,100,0
727,"The House of Tomorrow",35821,35821,0,100,0
728,"The Road Movie",35757,35757,0,100,0
729,"Good Manners",35714,31177,4537,87.3,12.7
730,"PGS: Intuition Is Your Personal Guidance System",35423,35423,0,100,0
731,"Holy Hell",34366,34366,0,100,0
732,Maui,33953,33953,0,100,0
733,"Distant Voices, Still Lives 2018 Re-release",33301,5234,28067,15.7,84.3
734,"The Nun",32659,30245,2414,92.6,7.4
735,"Sollers Point",32608,32608,0,100,0
736,Goodland,32140,32140,0,100,0
737,Moynihan,31970,31970,0,100,0
738,"Poor Boy",31031,31031,0,100,0
739,"Cold Water",30209,30209,0,100,0
740,"Memories of Underdevelopment 2018 Re-release",29647,29647,0,100,0
741,"Charm City",29335,29335,0,100,0
742,"Restoring Tomorrow",28556,28556,0,100,0
743,"Quai des Orfèvres 2018 Re-release",28013,28013,0,100,0
744,"The Amendment",27961,27961,0,100,0
745,Senso,27723,27723,0,100,0
746,"An Evening with Beverly Luff Linn",27359,6701,20658,24.5,75.5
747,"Milford Graves Full Mantis",26566,26566,0,100,0
748,"At First Light",26338,3292,23046,12.5,87.5
749,"Marlina the Murderer in Four Acts",26331,17788,8543,67.6,32.4
750,"The Misandrists",26123,26123,0,100,0
751,"Ridge Runners",26019,26019,0,100,0
752,"Jet Trash 2018 Re-release",26002,26002,0,100,0
753,"Black Mother",25919,18762,7157,72.4,27.6
754,Vazante,25091,23884,1207,95.2,4.8
755,"An Elephant's Journey",24844,24844,0,100,0
756,"Too Late to Die Young",24487,16591,7896,67.8,32.2
757,"Under The Wire",23897,3429,20468,14.3,85.7
758,"Death House",23833,23833,0,100,0
759,"Letter from Masanjia",23481,23481,0,100,0
760,"The Judge",23127,22257,870,96.2,3.8
761,"Three Peaks",23069,16216,6853,70.3,29.7
762,"Heavy Trip",22460,10153,12307,45.2,54.8
763,"The Atomic Cafe",22293,22293,0,100,0
764,"Winning Formula",22189,22189,0,100,0
765,"The Female Brain",21786,21786,0,100,0
766,"Half the Picture",21589,21589,0,100,0
767,Hagazussa,21487,13253,8234,61.7,38.3
768,Tyrel,21456,21456,0,100,0
769,"Ganja & Hess",21197,21197,0,100,0
770,"The Happys",21108,21108,0,100,0
771,Ava,20940,20940,0,100,0
772,"Did You Wonder Who Fired the Gun?",20765,20765,0,100,0
773,"Freak Show",20657,19696,961,95.3,4.7
774,"Ice Dragon: Legend of the Blue Daisies",20549,20549,0,100,0
775,"The Devil and Father Amorth",20449,20449,0,100,0
776,"Izzy Gets the F*ck Across Town",20208,20208,0,100,0
777,Apocalypsis,20052,20052,0,100,0
778,"Eight Hours Don't Make a Day",19987,19987,0,100,0
779,"One Sings, the Other Doesn't",19919,19919,0,100,0
780,"Active Measures",19862,19862,0,100,0
781,"Damascus Cover",19532,0,19532,0,100
782,"Who We Are Now",19128,19128,0,100,0
783,November,19084,19084,0,100,0
784,Anything,19037,19037,0,100,0
785,"Frank and Ava",18829,18829,0,100,0
786,"Crime + Punishment",18644,18644,0,100,0
787,"The Pagan King",18598,0,18598,0,100
788,"Allegiance to Broadway",18527,18527,0,100,0
789,Desolation,18490,18490,0,100,0
790,"306 Hollywood",18399,18399,0,100,0
791,"King of Hearts",18130,17646,484,97.3,2.7
792,"Batman: Mask of the Phantasm 2018 Re-release",17813,17813,0,100,0
793,"The Chronicle of Anna Magdalena Bach",17527,17527,0,100,0
794,"A Bread Factory, Part One/A Bread Factory, Part Two",17325,17325,0,100,0
795,Revival,17252,17252,0,100,0
796,"Haikara-San: Here Comes Miss Modern",16572,16572,0,100,0
797,Detour,16172,16172,0,100,0
798,"Out on Stage",15623,15623,0,100,0
799,"Bob le Flambeur",15586,15586,0,100,0
800,"When You Read This Letter",15552,15552,0,100,0
801,"Postcards from London",15548,5312,10236,34.2,65.8
802,"Tom of Finland 2018 Re-release",15483,3314,12169,21.4,78.6
803,"Narcissister Organ Player",15334,15334,0,100,0
804,"People's Republic of Desire",15241,15241,0,100,0
805,"Trust Machine: The Story of Blockchain",14905,14905,0,100,0
806,"Ferrante Fever",14518,11137,3381,76.7,23.3
807,"The Public Image is Rotten",14464,11293,3171,78.1,21.9
808,"The Last Movie Star",14410,14410,0,100,0
809,"Chasing the Blues",14030,14030,0,100,0
810,"Weed the People",13926,13926,0,100,0
811,Stavisky...,13793,13793,0,100,0
812,"Our Blood is Wine",13210,13210,0,100,0
813,"Like Me",12965,12965,0,100,0
814,Kangaroo,12626,4547,8079,36,64
815,"American Socialist: The Life and Times of Eugene Victor Debs",12609,12609,0,100,0
816,"Of Fathers and Sons",12579,12579,0,100,0
817,"My Art",12554,12554,0,100,0
818,"American Chaos",12368,12368,0,100,0
819,"L'héritage de la chouette",12316,12316,0,100,0
820,"The Most Unknown",12119,12119,0,100,0
821,"The Last Race",11947,11947,0,100,0
822,"Les Parents Terribles",11818,11818,0,100,0
823,"Summer '03",11746,11746,0,100,0
824,"Around India with a Movie Camera",11568,10389,1179,89.8,10.2
825,"Rendezvous in July",11321,11321,0,100,0
826,"Bullitt County",11257,11257,0,100,0
827,"Edward II 2018 Re-release",11055,4826,6229,43.7,56.3
828,"Class Rank",10452,10452,0,100,0
829,"Mama Africa 2018 Re-release",10430,10430,0,100,0
830,"The Advocates",10402,10402,0,100,0
831,"The Quest of Alain Ducasse",9627,9627,0,100,0
832,"Strangers on the Earth",9518,9518,0,100,0
833,"El Mar La Mar",9065,9065,0,100,0
834,"Step Up: High Water",9005,9005,0,100,0
835,"Zoo Wars",8998,8998,0,100,0
836,"Survivors Guide To Prison",8982,8982,0,100,0
837,"Colossal Youth",8968,8331,637,92.9,7.1
838,"Summer of '67",8941,8941,0,100,0
839,"This is Congo",8905,7051,1854,79.2,20.8
840,"Blood Feast",8708,8708,0,100,0
841,Furlough,8472,8472,0,100,0
842,Spiral,8190,8190,0,100,0
843,"Legend of the Mountain",7640,7640,0,100,0
844,"Shoah: Four Sisters",7323,7323,0,100,0
845,"Tall: The American Skyscraper and Louis Sullivan",7216,7216,0,100,0
846,Painless,7082,7082,0,100,0
847,"In Echo Park",7072,7072,0,100,0
848,"In the Land of Pomegranates",7014,7014,0,100,0
849,"Duck Butter",6877,6877,0,100,0
850,"Calling All Earthlings",6756,6756,0,100,0
851,"A Whale of a Tale",6747,6747,0,100,0
852,Iceman,6719,2138,4581,31.8,68.2
853,"One Last Thing - Presented by Chicken Soup for the Soul",6232,6232,0,100,0
854,"I Am MLK Jr.",5918,5918,0,100,0
855,"An Actor Prepares",5891,1743,4148,29.6,70.4
856,"Are We Not Cats",5518,5518,0,100,0
857,"Cuban Food Stories",5434,5434,0,100,0
858,"In Searching",5210,5210,0,100,0
859,Intersection,5116,5116,0,100,0
860,"Notes on an Appearance",5065,5065,0,100,0
861,"The Texture of Falling",5010,5010,0,100,0
862,"Social Animals",5007,5007,0,100,0
863,"An L.A. Minute",5004,5004,0,100,0
864,"The Other Side of Everything",4685,4685,0,100,0
865,"The Long Dumb Road",4667,4667,0,100,0
866,Weightless,4461,4461,0,100,0
867,"The Peacemaker",4400,4400,0,100,0
868,"The Party's Just Beginning",4371,4145,226,94.8,5.2
869,Cocote,4224,3815,409,90.3,9.7
870,"Stella's Last Weekend",4215,4215,0,100,0
871,Armed,3948,3948,0,100,0
872,"American Dresser",3895,3895,0,100,0
873,"The Second Time Around",3837,3837,0,100,0
874,Nelly,3751,3751,0,100,0
875,"The Family",3696,3696,0,100,0
876,Fourplay,3550,3550,0,100,0
877,"The Citizen 2018 Re-release",3495,3495,0,100,0
878,"The Cage Fighter",3392,3392,0,100,0
879,Followers,3350,3350,0,100,0
880,"Over the Limit",3243,3243,0,100,0
881,"Game Changers",3142,3142,0,100,0
882,"Hot to Trot",3133,3133,0,100,0
883,Nana,2784,2784,0,100,0
884,"Straight Into a Storm",2684,2684,0,100,0
885,"ACORN and the Firestorm",2621,2621,0,100,0
886,"West Of The Jordan River",1926,1926,0,100,0
887,"Finding Happiness",1841,1841,0,100,0
888,"The Lost Village",1780,1780,0,100,0
889,Henchmen,1469,1469,0,100,0
890,"That Way Madness Lies...",1447,1447,0,100,0
891,"Beauty and the Beholder",1368,1368,0,100,0
892,"Altered Perception",1259,1259,0,100,0
893,"Two Men Went to War 2018 Re-release",1227,1227,0,100,0
894,"Under the Turban",1190,1190,0,100,0
895,"Half Brothers",1100,1100,0,100,0
896,"Invisible Hands",1034,1034,0,100,0
897,"TVTV: Video Revolutionaries",812,812,0,100,0
898,"Higher Power",528,528,0,100,0
